Fold Index,Accuracy (DecisionTreeClassifier) (%),Accuracy (Extra Trees Classifier) (%)
1,83.33333333,88.88888889
2,77.77777778,88.88888889
3,88.57142857,88.57142857
4,88.57142857,88.57142857
5,97.14285714,94.28571429
