Fold Index,Accuracy (DecisionTreeClassifier) (%),Accuracy (Extra Trees Classifier) (%)
1,83.33333333,86.11111111
2,77.77777778,88.88888889
3,80,97.14285714
4,88.57142857,82.85714286
5,91.42857143,85.71428571
