Fold Index,Accuracy (DecisionTreeClassifier) (%),Accuracy (Extra Trees Classifier) (%)
1,88.88888889,88.88888889
2,80.55555556,86.11111111
3,82.85714286,97.14285714
4,91.42857143,88.57142857
5,88.57142857,94.28571429
