Fold Index,Accuracy (DecisionTreeClassifier) (%),Accuracy (Extra Trees Classifier) (%)
1,86.11111111,88.88888889
2,75,83.33333333
3,82.85714286,91.42857143
4,88.57142857,94.28571429
5,85.71428571,97.14285714
