10k,0.8611,0.9167,0.8571,0.8571,0.9143
5k,0.8889,0.8333,0.9143,0.7143,0.8286
2.5k,0.9167,0.9167,0.9429,0.7714,0.9143
1k,0.8889,0.8611,0.9714,0.8857,0.9429
100,0.6667,0.6667,0.7143,0.7714,0.7429
